Name,Pronunciation,Territory,StrategicFit(12),Distinctiveness(12),TrademarkDef(12),Memorability(10),PronSpell(10),TrustPremium(10),DomainFeas(10),Expansion(8),Multilingual(8),SearchApp(5),VisualVerbal(3),Total(100),DomainStatus,TrademarkRisk,SearchCollision,LinguisticRisk,Status,EliminationReason,Notes
Valyt,VAL-it,invented/value+vault,10,11,5,8,6,7,4,7,4,4,3,58,".com is ACTIVE ESG-finance firm valyt.com (direct visit 2026-07-23); valyt.ai/.app avail",Elevated (LIVE direct-visit: active ESG/financial-analytics consultancy on valyt.com - adjacent space),Adjacent-finance,FA/AR homophone velayat,DEMOTED(rev2 2026-07-23),Active adjacent-space company owns valyt.com; keyword pass missed it,Corrected after direct-domain visit
Aestima,es-TEE-mah,Latin/appraise,11,9,3,7,6,9,4,8,6,3,3,55,".com registered; active valuation surveyors aestima.mu + fintech aestima.org (direct visit 2026-07-23)",High (LIVE direct-visit: active valuation surveyors + fintech - DIRECT appraisal-space collision),Direct-valuation,Spelling drifts to estima,DEMOTED(rev2 2026-07-23),"Latin to-appraise = naturally colonized by valuation firms; worst overlap",Direct-space conflict
Veluma,veh-LOO-mah,invented/value+light,11,11,4,8,9,8,3,8,8,4,3,60,".com/.ai/.app registered (2026-07-23); .com resolves to active business",Elevated (LIVE knockout 2026-07-23: active VELUMA creative lab on veluma.net/.com),Moderate (creative-lab collision),None found,DEMOTED(rev 2026-07-23),Active same-name business in adjacent branding-services space; .com effectively unbuyable,Revisit only if lab defunct AND counsel clears
Vitrine,vih-TREEN,objects/display case,10,7,5,7,6,9,5,7,8,2,3,59,.com/.ai/.io registered (2026-07-23),Moderate-generic (UNVERIFIED),High generic noise FR/PT,EN pronunciation teaching; FA loanword advantage,SEMIFINALIST,,Cultural gem; legally/SEO fragile
Appra,AP-rah,category-verb/appraisal,10,8,5,8,8,6,4,7,5,3,3,57,.com/.ai/.app/.io ALL registered (2026-07-23) - crowding signal,Moderate (UNVERIFIED),Appraisal-tech neighbors likely,FA opera collision minor,SEMIFINALIST,,Verb potential; space likely occupied
Troveo,TROH-vee-oh,exchange/treasure,8,7,5,7,8,6,5,6,6,3,3,54,.com/.ai registered (2026-07-23),Moderate (UNVERIFIED),Trove-family noise,None,SEMIFINALIST,,Trove equity diluted by prior users
Bazara,bah-ZAR-ah,marketplace/bazaar,7,8,6,8,9,5,4,6,8,3,2,56,.com registered (2026-07-23),Unable to verify,Souq/bazaar generic space,FA-native warmth; flea-market register risk,SEMIFINALIST,,Strong FA identity; weak premium
Worthen,WUR-then,value/worth,8,7,6,7,8,7,4,6,6,3,2,54,.com registered (2026-07-23),Unable to verify,Surname/places,None,SEMIFINALIST,,Solid but unremarkable
Heirly,AIR-lee,provenance/estate,8,8,6,7,6,6,4,5,4,4,2,50,.com/.app registered (2026-07-23),Unable to verify,Homophone early,Homophone risk EN,SEMIFINALIST,,Estate wedge name; too narrow for parent
Curion,KYUR-ee-on,objects/curio,7,7,5,7,8,6,4,6,6,3,2,51,.com registered (2026-07-23),Moderate (Curion Insights),Curio-family,None,SEMIFINALIST,,Existing research firm dilutes
Attesta,ah-TESS-tah,trust/attest,8,7,6,6,7,7,4,6,6,3,2,52,.com registered (2026-07-23),Unable to verify,Attestation SaaS space,Italian verb form,SEMIFINALIST,,Certification tone; long
Veris,VAIR-iss,trust/true,8,6,5,7,8,7,4,6,6,3,2,52,.com registered (2026-07-23),Elevated (Veritas/Verisign adjacency),Ver- crowded,None,SEMIFINALIST,,Trust-root crowding
